Pokemon,X,Y,Z
Outland Hariyama,1760,1147,2
Outland Hariyama,1756,1151,2
Outland Hariyama,1764,1151,2
Outland Hariyama,1776,1151,2
Outland Hariyama,1784,1151,2
Outland Hariyama,1760,1152,2
Outland Hariyama,1780,1152,2
Bronzor,2401,2181,2
Bronzor,2413,2182,2
Bronzong,2402,2186,2
Bronzong,2416,2187,2
Bronzong,2422,2187,2
Bronzong,2431,2190,2
Bronzong,2390,2192,2
Bronzong,2399,2193,2
Bronzong,2426,2193,2
Bronzong,2438,2194,2
Bronzong,2393,2198,2
Bronzong,2432,2198,2
Bronzor,2435,2201,2
Bronzong,2395,2205,2
Bronzor,2449,2206,2
Bronzong,2432,2208,2
Bronzong,2439,2209,2
Bronzor,2392,2214,2
Bronzong,2399,2214,2
Bronzong,2434,2214,2
Bronzong,2444,2215,2
Bronzong,2401,2218,2
Staraptor,2310,2221,2
Bronzong,2439,2221,2
Staraptor,2306,2222,2
Bronzong,2395,2223,2
Bronzor,2399,2224,2
Bronzong,2446,2225,2
Staraptor,2309,2226,2
Vespiquen,2054,2227,2
Bronzor,2441,2230,2
Vespiquen,2049,2231,2
Vespiquen,2058,2231,2
Bronzor,2385,2233,2
Bronzong,2394,2234,2
Combee,2058,2235,2
Combee,2052,2237,2
Vespiquen,2067,2237,2
Bronzong,2381,2238,2
Bronzong,2442,2238,2
Vespiquen,2047,2239,2
Bronzor,2394,2239,2
Bronzong,2435,2239,2
Vespiquen,2056,2240,2
Combee,2065,2240,2
Vespiquen,2061,2241,2
Vespiquen,2071,2241,2
Bronzong,2387,2241,2
Bronzong,2441,2242,2
Bronzor,2449,2242,2
Bronzong,2430,2243,2
Vespiquen,2046,2244,2
Vespiquen,2053,2244,2
Bronzor,2377,2244,2
Vespiquen,2065,2246,2
Vespiquen,2073,2246,2
Bronzong,2436,2246,2
Bronzor,2388,2248,2
Bronzong,2384,2251,2
Bronzong,2429,2251,2
Bronzong,2452,2251,2
Combee,2066,2252,2
Vespiquen,2069,2252,2
Vespiquen,2060,2255,2
Bronzong,2450,2255,2
Bronzong,2377,2258,2
Bronzor,2384,2258,2
Combee,2062,2259,2
Bronzor,2420,2259,2
Bronzong,2458,2259,2
Vespiquen,2068,2260,2
Bronzong,2447,2261,2
Bronzor,2431,2264,2
Bronzong,2453,2264,2
Vespiquen,2054,2265,2
Bronzong,2418,2265,2
Bronzong,2444,2265,2
Bronzor,2372,2266,2
Bronzong,2412,2267,2
Combee,2062,2268,2
Vespiquen,2065,2268,2
Vespiquen,2072,2268,2
Bronzong,2374,2269,2
Bronzor,2407,2270,2
Vespiquen,2057,2272,2
Bronzong,2419,2272,2
Vespiquen,2075,2274,2
Bronzong,2411,2274,2
Combee,2062,2275,2
Vespiquen,2066,2275,2
Bronzor,2371,2277,2
Bronzong,2416,2277,2
Vespiquen,2076,2278,2
Bronzor,2409,2279,2
Vespiquen,2083,2280,2
Vespiquen,2072,2282,2
Combee,2080,2282,2
Bronzong,2368,2283,2
Vespiquen,2087,2284,2
Bronzong,2412,2284,2
Vespiquen,2066,2285,2
Vespiquen,2054,2286,2
Vespiquen,2076,2286,2
Bronzor,2369,2287,2
Bronzor,2411,2288,2
Vespiquen,2070,2289,2
Bronzong,2364,2289,2
Bronzong,2373,2289,2
Vespiquen,2050,2290,2
Bronzong,2377,2293,2
Combee,2051,2294,2
Bronzor,2407,2294,2
Vespiquen,2047,2295,2
Vespiquen,2065,2297,2
Vespiquen,2053,2298,2
Bronzong,2373,2299,2
Bronzor,2378,2299,2
Bronzong,2381,2300,2
Vespiquen,2046,2302,2
Bronzong,2408,2302,2
Combee,2051,2303,2
Bronzor,2390,2303,2
Vespiquen,2058,2304,2
Combee,2064,2304,2
Bronzor,2410,2304,2
Vespiquen,2053,2307,2
Vespiquen,2066,2307,2
Bronzong,2399,2308,2
Bronzong,2407,2308,2
Bronzong,2414,2308,2
Bronzong,2393,2309,2
Vespiquen,2042,2310,2
Bronzor,2399,2312,2
Bronzong,2401,2314,2
Vespiquen,2070,2315,2
Vespiquen,2074,2320,2
Combee,2078,2325,2
Combee,2075,2328,2
Luxray,2417,2338,2
Luxray,2390,2339,2
Luxio,2394,2339,2
Luxray,2404,2339,2
Luxio,2412,2339,2
Shinx,2387,2341,2
Luxio,2406,2342,2
Luxray,2420,2342,2
Luxray,2410,2343,2
Luxio,2417,2343,2
Luxray,2426,2343,2
Luxio,2383,2344,2
Luxray,2397,2344,2
Shinx,2390,2346,2
Luxray,2385,2347,2
Shinx,2396,2348,2
Luxio,2415,2348,2
Luxray,2409,2349,2
Luxray,2418,2349,2
Luxray,2390,2350,2
Luxray,2424,2350,2
Luxio,2396,2352,2
Luxray,2404,2352,2
Luxio,2412,2352,2
Luxio,2386,2353,2
Luxray,2408,2354,2
Luxio,2421,2354,2
Luxray,2399,2355,2
Luxray,2416,2355,2
Outland Manectric,2028,2759,2
Outland Manectric,2032,2763,2
Outland Manectric,2024,2764,2
Outland Cacturne,1940,2765,2
Outland Cacturne,1943,2767,2
Outland Manectric,2028,2767,2
Outland Cacturne,1897,2768,2
Outland Manectric,2035,2768,2
Outland Manectric,2022,2769,2
Outland Cacturne,1940,2770,2
Outland Cacturne,1891,2771,2
Outland Cacturne,1935,2771,2
Outland Cacturne,1903,2772,2
Outland Manectric,2028,2772,2
Outland Cacturne,1929,2773,2
Outland Cacturne,1944,2773,2
Outland Cacturne,1919,2774,2
Outland Cacturne,1938,2775,2
Outland Cacturne,1889,2777,2
Outland Cacturne,1897,2777,2
Outland Cacturne,1914,2777,2
Outland Manectric,2036,2777,2
Outland Cacturne,1902,2779,2
Outland Cacturne,1922,2780,2
Outland Cacturne,1941,2780,2
Outland Cacturne,1892,2781,2
Outland Cacturne,1917,2781,2
Outland Cacturne,1873,2783,2
Outland Cacturne,1919,2783,2
Outland Cacturne,1889,2786,2
Outland Cacturne,1913,2787,2
Outland Cacturne,1873,2788,2
Outland Cacturne,1877,2788,2
Outland Cacturne,1860,2789,2
Outland Cacturne,1868,2789,2
Outland Cacturne,1916,2789,2
Outland Cacturne,1877,2792,2
Outland Manectric,2043,2792,2
Outland Cacturne,1916,2793,2
Outland Manectric,2050,2793,2
Outland Cacturne,1865,2794,2
Outland Cacturne,1869,2794,2
Outland Manectric,2040,2797,2
Outland Manectric,2045,2801,2
Outland Manectric,2053,2805,2
Outland Manectric,2052,2811,2
Outland Manectric,2062,2813,2
Outland Manectric,2056,2817,2
Outland Manectric,2034,2907,2
Outland Manectric,2038,2911,2
Outland Manectric,2030,2912,2
Outland Cacturne,1946,2913,2
Outland Cacturne,1949,2915,2
Outland Manectric,2034,2915,2
Outland Cacturne,1903,2916,2
Outland Manectric,2041,2916,2
Outland Manectric,2028,2917,2
Outland Cacturne,1946,2918,2
Outland Cacturne,1897,2919,2
Outland Cacturne,1941,2919,2
Outland Cacturne,1909,2920,2
Outland Manectric,2034,2920,2
Outland Cacturne,1935,2921,2
Outland Cacturne,1950,2921,2
Outland Cacturne,1925,2922,2
Outland Cacturne,1944,2923,2
Outland Cacturne,1895,2925,2
Outland Cacturne,1903,2925,2
Outland Cacturne,1920,2925,2
Outland Manectric,2042,2925,2
Outland Cacturne,1908,2927,2
Outland Cacturne,1928,2928,2
Outland Cacturne,1947,2928,2
Outland Cacturne,1898,2929,2
Outland Cacturne,1923,2929,2
Outland Cacturne,1879,2931,2
Outland Cacturne,1925,2931,2
Outland Cacturne,1895,2934,2
Outland Cacturne,1919,2935,2
Outland Cacturne,1879,2936,2
Outland Cacturne,1883,2936,2
Outland Cacturne,1866,2937,2
Outland Cacturne,1874,2937,2
Outland Cacturne,1922,2937,2
Outland Cacturne,1883,2940,2
Outland Manectric,2049,2940,2
Outland Cacturne,1922,2941,2
Outland Manectric,2056,2941,2
Outland Cacturne,1871,2942,2
Outland Cacturne,1875,2942,2
Outland Manectric,2046,2945,2
Outland Manectric,2051,2949,2
Outland Manectric,2059,2953,2
Outland Manectric,2058,2959,2
Outland Manectric,2068,2961,2
Outland Manectric,2062,2965,2
Outland Forretress,1828,161,3
Outland Forretress,1822,163,3
Outland Forretress,1833,163,3
Outland Forretress,1841,163,3
Outland Forretress,1814,164,3
Outland Forretress,1848,164,3
Outland Forretress,1838,165,3
Outland Forretress,1810,167,3
Outland Forretress,1819,167,3
Outland Forretress,1825,167,3
Outland Forretress,1844,167,3
Outland Forretress,1830,168,3
Outland Forretress,1814,170,3
Outland Forretress,1848,170,3
Outland Forretress,1853,170,3
Outland Forretress,1849,174,3
Outland Forretress,1813,176,3
Outland Forretress,1854,177,3
Outland Forretress,1818,179,3
Outland Forretress,1809,180,3
Outland Forretress,1813,180,3
Outland Forretress,1851,180,3
Outland Forretress,1863,182,3
Outland Forretress,1856,183,3
Outland Forretress,1849,184,3
Outland Forretress,1813,186,3
Outland Forretress,1856,189,3
Outland Forretress,1861,189,3
Outland Forretress,1864,191,3
Outland Forretress,1816,193,3
Outland Forretress,1820,197,3
Outland Forretress,1860,197,3
Outland Forretress,1820,201,3
Outland Forretress,1815,203,3
Outland Forretress,1825,203,3
Outland Forretress,1864,203,3
Outland Forretress,1864,205,3
Outland Forretress,1819,208,3
Outland Forretress,1861,209,3
Outland Forretress,1836,212,3
Outland Forretress,1867,212,3
Outland Forretress,1828,213,3
Outland Forretress,1840,214,3
Outland Forretress,1846,214,3
Outland Forretress,1853,214,3
Outland Forretress,1864,214,3
Outland Forretress,1833,215,3
Outland Forretress,1857,215,3
Outland Forretress,1842,217,3
Outland Forretress,1849,217,3
Outland Forretress,1866,218,3
Outland Forretress,1835,219,3
Outland Granbull,1814,247,3
Outland Granbull,1811,253,3
Outland Granbull,1815,253,3
Outland Granbull,1804,254,3
Outland Granbull,1809,257,3
Outland Granbull,1817,258,3
Outland Granbull,1825,258,3
Outland Granbull,1802,259,3
Outland Granbull,1813,260,3
Outland Granbull,1814,265,3
Outland Granbull,1811,269,3
Outland Granbull,1816,271,3
Outland Granbull,1810,275,3
Outland Granbull,1818,275,3
Outland Granbull,1814,279,3
Outland Forretress,1813,511,3
Outland Forretress,1854,512,3
Outland Forretress,1818,514,3
Outland Forretress,1809,515,3
Outland Forretress,1813,515,3
Outland Forretress,1851,515,3
Outland Forretress,1863,517,3
Outland Forretress,1856,518,3
Outland Forretress,1849,519,3
Outland Forretress,1813,521,3
Outland Forretress,1856,524,3
Outland Forretress,1861,524,3
Outland Forretress,1864,526,3
Outland Forretress,1816,528,3
Outland Forretress,1820,532,3
Outland Forretress,1860,532,3
Outland Forretress,1820,536,3
Outland Forretress,1815,538,3
Outland Forretress,1825,538,3
Outland Forretress,1864,538,3
Outland Forretress,1864,540,3
Outland Forretress,1819,543,3
Outland Forretress,1861,544,3
Outland Forretress,1836,547,3
Outland Forretress,1867,547,3
Outland Forretress,1828,548,3
Outland Forretress,1840,549,3
Outland Forretress,1864,549,3
Outland Forretress,1833,550,3
Outland Forretress,1857,550,3
Outland Forretress,1842,552,3
Outland Forretress,1866,553,3
Outland Forretress,1835,554,3
Outland Granbull,1814,582,3
Outland Granbull,1815,588,3
Outland Granbull,1804,589,3
Outland Granbull,1809,592,3
Outland Granbull,1817,593,3
Outland Granbull,1825,593,3
Outland Granbull,1802,594,3
Outland Granbull,1813,595,3
Outland Granbull,1814,600,3
Outland Granbull,1811,604,3
Outland Granbull,1816,606,3
Outland Granbull,1810,610,3
Outland Granbull,1818,610,3
Outland Granbull,1814,614,3
Magneton,1258,807,3
Magneton,1264,807,3
Magneton,1261,809,3
Magneton,1269,809,3
Magneton,1274,811,3
Magneton,1264,812,3
Magneton,1270,814,3
Magneton,1259,815,3
Magneton,1274,815,3
Magneton,1264,818,3
Magneton,1275,819,3
Magneton,1258,821,3
Magneton,1268,821,3
Outland Forretress,1813,846,3
Outland Forretress,1854,847,3
Outland Forretress,1818,849,3
Outland Forretress,1809,850,3
Outland Forretress,1813,850,3
Outland Forretress,1851,850,3
Outland Forretress,1863,852,3
Outland Forretress,1856,853,3
Outland Forretress,1849,854,3
Outland Forretress,1813,856,3
Outland Forretress,1856,859,3
Outland Forretress,1861,859,3
Outland Forretress,1864,861,3
Outland Forretress,1816,863,3
Outland Forretress,1820,867,3
Outland Forretress,1860,867,3
Outland Forretress,1820,871,3
Outland Forretress,1815,873,3
Outland Forretress,1825,873,3
Outland Forretress,1864,873,3
Outland Forretress,1864,875,3
Outland Forretress,1819,878,3
Outland Forretress,1861,879,3
Outland Forretress,1836,882,3
Outland Forretress,1867,882,3
Outland Forretress,1828,883,3
Outland Forretress,1840,884,3
Outland Forretress,1864,884,3
Outland Forretress,1833,885,3
Outland Forretress,1857,885,3
Outland Forretress,1842,887,3
Outland Forretress,1866,888,3
Outland Forretress,1835,889,3
Machamp,1126,901,3
Machamp,1131,902,3
Machamp,1117,904,3
Machamp,1107,905,3
Machamp,1124,906,3
Machamp,1113,907,3
Machamp,1129,908,3
Machamp,1111,911,3
Machamp,1132,912,3
Machamp,1119,913,3
Machamp,1124,914,3
Machoke,1116,917,3
Outland Granbull,1814,917,3
Machamp,1130,919,3
Machamp,1124,920,3
Machamp,1119,922,3
Outland Granbull,1815,923,3
Machamp,1132,924,3
Outland Granbull,1804,924,3
Machamp,1114,925,3
Machamp,1126,926,3
Machamp,1142,926,3
Outland Granbull,1809,927,3
Machamp,1119,928,3
Machamp,1135,928,3
Gengar,1212,928,3
Outland Granbull,1817,928,3
Outland Granbull,1825,928,3
Outland Granbull,1802,929,3
Haunter,1224,930,3
Outland Granbull,1813,930,3
Machamp,1140,931,3
Machamp,1130,932,3
Haunter,1210,932,3
Gengar,1219,932,3
Machamp,1136,933,3
Gengar,1214,934,3
Haunter,1221,934,3
Outland Granbull,1814,935,3
Gengar,1217,937,3
Gengar,1210,939,3
Gengar,1223,939,3
Outland Granbull,1811,939,3
Outland Granbull,1816,941,3
Gengar,1213,942,3
Haunter,1219,942,3
Rhyhorn,1161,943,3
Outland Granbull,1810,945,3
Outland Granbull,1818,945,3
Rhyhorn,1108,947,3
Rhydon,1114,948,3
Outland Granbull,1814,949,3
Rhyhorn,1140,951,3
Rhydon,1154,951,3
Rhydon,1159,951,3
Rhydon,1108,952,3
Rhyhorn,1118,952,3
Rhyhorn,1149,952,3
Rhydon,1143,955,3
Rhyhorn,1107,956,3
Rhyhorn,1115,956,3
Rhydon,1155,956,3
Rhyhorn,1146,959,3
Rhyhorn,1111,970,3
Rhydon,1119,970,3
Rhyhorn,1143,970,3
Rhyhorn,1158,970,3
Rhyhorn,1126,972,3
Rhydon,1148,972,3
Rhydon,1166,974,3
Rhydon,1142,975,3
Rhydon,1153,975,3
Rhydon,1113,976,3
Rhyhorn,1119,977,3
Rhyhorn,1159,977,3
Rhyhorn,1125,979,3
Rhyhorn,1147,980,3
Rhydon,1115,981,3
Rhydon,1153,982,3
Outland Tropius,1886,1102,3
Outland Tropius,1851,1103,3
Outland Tropius,1880,1103,3
Outland Tropius,1846,1104,3
Outland Tropius,1860,1104,3
Outland Tropius,1868,1104,3
Outland Tropius,1893,1104,3
Outland Tropius,1883,1106,3
Outland Manectric,1920,1106,3
Outland Tropius,1831,1107,3
Outland Tropius,1871,1107,3
Outland Tropius,1897,1107,3
Outland Manectric,1915,1107,3
Outland Manectric,1938,1107,3
Outland Tropius,1838,1108,3
Outland Tropius,1857,1108,3
Outland Tropius,1863,1108,3
Outland Tropius,1876,1108,3
Outland Manectric,1943,1108,3
Outland Tropius,1883,1109,3
Outland Tropius,1890,1109,3
Outland Tropius,1825,1110,3
Outland Tropius,1834,1110,3
Outland Tropius,1842,1110,3
Outland Tropius,1852,1110,3
Outland Manectric,1927,1110,3
Outland Manectric,1934,1110,3
Outland Tropius,1845,1111,3
Outland Manectric,1939,1111,3
Outland Manectric,1917,1112,3
Outland Manectric,1949,1112,3
Outland Tropius,1821,1113,3
Outland Manectric,1924,1113,3
Outland Manectric,1944,1114,3
Outland Tropius,1898,1116,3
Outland Manectric,1915,1117,3
Outland Manectric,1921,1117,3
Outland Manectric,1947,1118,3
Outland Tropius,1823,1119,3
Outland Manectric,1951,1119,3
Outland Tropius,1901,1121,3
Outland Manectric,1924,1121,3
Outland Tropius,1817,1123,3
Outland Tropius,1895,1124,3
Outland Manectric,1948,1124,3
Outland Manectric,1926,1126,3
Outland Tropius,1829,1127,3
Outland Tropius,1817,1128,3
Outland Tropius,1900,1128,3
Outland Tropius,1904,1128,3
Outland Manectric,1951,1129,3
Outland Tropius,1823,1130,3
Outland Tropius,1895,1130,3
Outland Manectric,1948,1130,3
Outland Manectric,1930,1131,3
Outland Manectric,1925,1132,3
Outland Tropius,1829,1133,3
Outland Tropius,1823,1134,3
Outland Tropius,1901,1134,3
Outland Manectric,1933,1134,3
Outland Manectric,1944,1134,3
Outland Tropius,1818,1135,3
Outland Manectric,1921,1135,3
Outland Manectric,1938,1135,3
Outland Manectric,1928,1136,3
Outland Manectric,1950,1136,3
Outland Tropius,1826,1138,3
Outland Manectric,1944,1139,3
Outland Hariyama,1763,1140,3
Outland Tropius,1898,1140,3
Outland Manectric,1934,1140,3
Outland Manectric,1938,1140,3
Outland Hariyama,1778,1141,3
Outland Hariyama,1784,1141,3
Outland Hariyama,1756,1142,3
Outland Tropius,1823,1142,3
Outland Tropius,1903,1142,3
Outland Hariyama,1760,1145,3
Outland Hariyama,1778,1146,3
Outland Hariyama,1784,1146,3
Outland Tropius,1825,1148,3
Outland Hariyama,1757,1149,3
Outland Hariyama,1763,1149,3
Outland Tropius,1900,1149,3
Outland Hariyama,1778,1152,3
Outland Hariyama,1784,1152,3
Outland Hariyama,1763,1153,3
Outland Tropius,1821,1153,3
Outland Tropius,1896,1153,3
Outland Tropius,1907,1153,3
Outland Hariyama,1757,1154,3
Outland Tropius,1825,1156,3
Outland Hariyama,1778,1157,3
Outland Hariyama,1784,1157,3
Outland Tropius,1901,1157,3
Outland Tropius,1895,1158,3
Outland Tropius,1823,1162,3
Outland Tropius,1907,1162,3
Outland Tropius,1897,1164,3
Outland Tropius,1826,1167,3
Outland Tropius,1823,1168,3
Outland Tropius,1901,1168,3
Outland Tropius,1826,1171,3
Outland Tropius,1883,1173,3
Outland Tropius,1889,1173,3
Outland Tropius,1821,1174,3
Outland Tropius,1874,1176,3
Outland Tropius,1894,1176,3
Outland Tropius,1887,1177,3
Outland Tropius,1868,1178,3
Outland Tropius,1880,1178,3
Outland Tropius,1828,1179,3
Outland Tropius,1823,1180,3
Outland Tropius,1846,1180,3
Outland Tropius,1885,1180,3
Outland Tropius,1854,1181,3
Outland Tropius,1865,1181,3
Outland Tropius,1892,1181,3
Outland Tropius,1818,1182,3
Outland Tropius,1839,1182,3
Outland Tropius,1849,1184,3
Outland Tropius,1824,1185,3
Outland Tropius,1861,1185,3
Outland Tropius,1832,1186,3
Outland Tropius,1867,1186,3
Outland Tropius,1840,1187,3
Outland Tropius,1851,1187,3
Outland Tropius,1818,1189,3
Outland Tropius,1864,1189,3
Outland Tropius,1826,1190,3
Outland Tropius,1855,1192,3
Charmeleon,387,1630,3
Charmeleon,355,1632,3
Charmeleon,360,1633,3
Charmander,378,1634,3
Charmander,368,1635,3
Charmander,383,1636,3
Charmeleon,401,1636,3
Charmeleon,377,1638,3
Charmander,394,1638,3
Charmander,360,1639,3
Charmander,408,1639,3
Charmeleon,356,1642,3
Charmeleon,374,1642,3
Charmander,405,1643,3
Charmeleon,366,1647,3
Charmander,374,1647,3
Charmander,412,1647,3
Charmander,360,1649,3
Charmander,369,1651,3
Charmeleon,408,1652,3
Charmeleon,379,1654,3
Charmeleon,364,1655,3
Charmander,385,1656,3
Charmander,411,1656,3
Charmander,416,1656,3
Charmander,404,1658,3
Charmeleon,399,1660,3
Charmander,368,1661,3
Charmeleon,383,1662,3
Charmander,413,1664,3
Charmander,386,1667,3
Charmander,397,1668,3
Charmander,402,1668,3
Charmeleon,366,1669,3
Charmeleon,411,1669,3
Charmeleon,390,1670,3
Charmander,375,1671,3
Charmander,360,1672,3
Charmander,384,1674,3
Charmeleon,399,1674,3
Charmeleon,411,1675,3
Charmander,406,1677,3
Charmeleon,379,1678,3
Charmeleon,361,1680,3
Charmander,366,1680,3
Charmeleon,374,1682,3
Charmander,409,1682,3
Probopass,2411,1966,3
Probopass,2406,1971,3
Lopunny,2435,1993,3
Buneary,2439,1994,3
Buneary,2434,1996,3
Buneary,2403,1999,3
Lopunny,2440,1999,3
Lopunny,2410,2000,3
Lopunny,2433,2000,3
Buneary,2405,2005,3
Buneary,2408,2010,3
Lopunny,2405,2015,3
Buneary,2403,2021,3
Lopunny,2409,2021,3
Lopunny,2403,2027,3
Garchomp,2265,2151,3
Garchomp,2260,2157,3
Gible,2265,2160,3
Garchomp,2267,2162,3
Gible,2270,2166,3
Garchomp,2274,2169,3
Garchomp,2268,2174,3
Garchomp,2277,2176,3
Garchomp,2235,2182,3
Gible,2230,2184,3
Gible,2272,2184,3
Gabite,2270,2186,3
Gible,2257,2187,3
Garchomp,2266,2187,3
Garchomp,2229,2188,3
Gible,2242,2189,3
Garchomp,2244,2189,3
Lucario,2410,2191,3
Carnivine,2084,2193,3
Gabite,2247,2193,3
Garchomp,2274,2193,3
Lucario,2417,2193,3
Garchomp,2252,2194,3
Garchomp,2235,2195,3
Gible,2271,2196,3
Lucario,2406,2198,3
Lucario,2413,2198,3
Gible,2256,2199,3
Gabite,2260,2199,3
Garchomp,2265,2201,3
Lucario,2425,2201,3
Carnivine,2082,2202,3
Chatot,2378,2202,3
Lucario,2418,2203,3
Carnivine,2076,2204,3
Chatot,2367,2204,3
Carnivine,2090,2205,3
Lucario,2409,2205,3
Staraptor,2303,2207,3
Chatot,2373,2208,3
Chatot,2382,2208,3
Lucario,2405,2208,3
Chatot,2363,2209,3
Staravia,2295,2210,3
Staraptor,2302,2212,3
Staravia,2307,2212,3
Staraptor,2312,2212,3
Chatot,2377,2212,3
Staraptor,2298,2213,3
Chatot,2371,2215,3
Chatot,2381,2215,3
Staraptor,2294,2217,3
Starly,2302,2217,3
Staraptor,2315,2217,3
Chatot,2367,2217,3
Lucario,2427,2219,3
Chatot,2373,2220,3
Staraptor,2301,2221,3
Starly,2315,2222,3
Starly,2333,2223,3
Staraptor,2342,2223,3
Staraptor,2328,2224,3
Lucario,2410,2224,3
Staraptor,2320,2225,3
Staraptor,2337,2225,3
Lucario,2430,2227,3
Staravia,2296,2228,3
Lucario,2409,2230,3
Staravia,2312,2231,3
Starly,2307,2232,3
Lucario,2421,2232,3
Staraptor,2300,2233,3
Lucario,2415,2235,3
Lucario,2438,2235,3
Staraptor,2314,2236,3
Lucario,2429,2236,3
Lucario,2395,2237,3
Staraptor,2307,2238,3
Lucario,2405,2239,3
Lucario,2421,2240,3
Lucario,2396,2241,3
Lucario,2442,2241,3
Lucario,2405,2242,3
Staraptor,2303,2243,3
Lucario,2401,2245,3
Lucario,2438,2245,3
Lucario,2395,2248,3
Lucario,2441,2250,3
Lucario,2391,2252,3
Lucario,2434,2253,3
Lucario,2420,2254,3
Lucario,2440,2257,3
Lucario,2389,2258,3
Lucario,2428,2258,3
Lucario,2402,2265,3
Lucario,2385,2266,3
Lucario,2393,2266,3
Lucario,2390,2270,3
Lucario,2399,2270,3
Lucario,2381,2272,3
Lucario,2386,2273,3
Lucario,2398,2277,3
Lucario,2379,2278,3
Lucario,2403,2284,3
Kricketune,2167,2285,3
Kricketune,2164,2289,3
Lucario,2396,2291,3
Lucario,2400,2291,3
Lucario,2386,2292,3
Roserade,2074,2295,3
Lucario,2389,2295,3
Lucario,2396,2296,3
Roselia,2069,2298,3
Roserade,2113,2299,3
Budew,2063,2300,3
Roserade,2086,2300,3
Roserade,2077,2301,3
Roserade,2102,2301,3
Roserade,2051,2302,3
Budew,2099,2302,3
Roselia,2119,2302,3
Lucario,2398,2302,3
Roselia,2058,2303,3
Roselia,2089,2303,3
Budew,2114,2304,3
Roserade,2116,2304,3
